TimeStamp,HumanReadableTime,Heading
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,186.550430
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,185.287186
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,183.014587
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,185.087189
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,186.208481
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,185.170807
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,186.338791
2016-05-09 22:11:19 +0000,2016-05-09 22:11:19 +0000,187.345490
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,189.077652
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,190.098740
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,191.975250
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,189.897415
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,188.157135
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,189.346039
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,187.691711
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,185.691681
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,184.643158
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,185.824463
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,187.171997
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,188.583466
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,190.054901
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,191.546051
2016-05-09 22:11:20 +0000,2016-05-09 22:11:20 +0000,194.438507
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,196.355759
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,197.361176
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,198.831421
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,199.912933
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,198.227646
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,196.926147
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,195.285767
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,193.491760
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,195.200546
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,196.424347
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,198.003479
2016-05-09 22:11:21 +0000,2016-05-09 22:11:21 +0000,199.251053
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,200.500824
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,201.624146
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,202.673843
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,204.750671
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,206.095474
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,205.014587
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,202.685593
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,201.209259
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,199.829727
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,198.471970
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,197.332230
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,196.271133
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,197.291290
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,198.538406
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,200.757614
2016-05-09 22:11:22 +0000,2016-05-09 22:11:22 +0000,202.500870
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,204.073303
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,205.202423
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,204.151855
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,202.137619
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,200.941010
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,199.705444
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,198.535767
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,197.367767
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,195.502991
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,193.707001
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,191.486603
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,192.749741
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,193.969223
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,195.715851
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,196.744537
2016-05-09 22:11:23 +0000,2016-05-09 22:11:23 +0000,197.801712
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,199.780762
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,200.828506
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,202.894012
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,204.400253
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,202.862396
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,201.473999
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,199.838791
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,197.999649
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,196.019821
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,194.276306
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,192.363144
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,191.351364
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,192.785950
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,194.063568
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,196.391510
2016-05-09 22:11:24 +0000,2016-05-09 22:11:24 +0000,198.566833
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,199.902008
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,201.443726
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,203.319717
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,204.553009
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,205.704010
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,207.958588
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,206.638504
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,205.278015
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,203.863174
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,202.300674
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,203.502853
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,201.909088
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,200.616394
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,199.263657
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,197.473572
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,196.039612
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,194.378326
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,193.137589
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,195.543549
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,197.184479
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,198.845230
2016-05-09 22:11:25 +0000,2016-05-09 22:11:25 +0000,200.995514
2016-05-09 22:11:26 +0000,2016-05-09 22:11:26 +0000,202.062378
2016-05-09 22:11:26 +0000,2016-05-09 22:11:26 +0000,203.406845
